D&H Item No.,Vendor Part No.,Description,UPC Code,Weight,Price,Est.Retail Price,Any D&H Whs,Atlanta Whs,Vendor Name,Category,Subcategory,Prop65 Warning Type,Prop65 Label Type,Prop65 Warning Text
XO3QBEMIL,T42950,"42"" Wind Curve Tower Fan",046013462527,12.25,63.61,89.99,YES,YES,Lasko Products,Home Environment,Fans,None,None,
XONARSE,T2M08,7780 CS i7 32G 1TB 17 W11,884116455004,10.7,3678.94,6183.11,NO,NO,Dell Commercial,Computers Notebooks,Notebook Workstations,,,
MAG255XF,MAG255XF,MAG 255XF,824142379004,11.3,133.39,159.99,YES,NO,MSI,Monitors,23-26 inch Class,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
XP61ZL,F-PoE-G2,Fiber PoE G2,817882024686,1.2,27.37,29,YES,NO,Ubiquiti Inc,Networking,Power over Ethernet,None,None,
BR1104FGAYS24TS,BR1104FGA-YS24T-S,"11.6"" N200 8G 128G W11P",197105418219,5.35,470.85,569.99,NO,NO,ASUS Notebooks,Computers Notebooks,Notebooks,,,
8F3H5AA,8F3H5AA#ABA,Poly ATA 402 2FXS Voice Port V,197497475807,1,76.62,134.95,NO,NO,HPI POLY,Headphones,Accessories,None,None,
21KV0008US,21KV0008US,TS P1 G7 ULT7 512G 11P,198153492732,5.3,2839.87,3049,NO,NO,Lenovo,Computers Notebooks,Notebook Workstations,Both,Long,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
XP95203NCDYREFA,0005NXXX-SRC1225-1,PREV MAINT AC UNIT 12-25K BTU,123456789012,.01,1229.12,1920,NO,NO,Eaton,Power Protection,Warranties & Services,None,None,
T48314,T48314,"Tower Fan 48"" Brown Box",046013463692,13.3,65.99,169.99,YES,NO,Lasko Products,Home Environment,Fans,None,None,
PRMERTX4070SO12,PRIME-RTX4070S-O12G,PRIME RTX4070S O12G,197105650596,3.15,633.29,639.99,NO,NO,ASUS,Video & Sound Cards,Video Cards PCIe nVIDIA,BOTH,SHORT,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
MAG255XFV,MAG255XFV,MAG255XFV,824142355640,11,113.91,139.99,YES,NO,MSI,Monitors,27-29 inch Class,BOTH,SHORT,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
FPPNEUSTND,FPPNEUSTND,Single Monitor Stand,065030891868,8.35,65.23,76.99,YES,YES,Startech.com,Mounts & Brackets,Single Display Mounts,None,None,
BR1104FTAYS14T,BR1104FTA-YS14T,"11.6"" N150 4G 128G 11P",197105797079,6.37,338.71,409.99,NO,NO,ASUS Notebooks,Computers Notebooks,Notebooks,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
8F3R2AA,8F3R2AA,PLY Edge E300/320/350 WMB,197497476965,3,31.9,40.65,NO,NO,HPI POLY,VoIP,Accessories,None,None,
21KV000AUS,21KV000AUS,TS P1 G7 ULT7 64G 2T 11P,198153494248,6.85,3683.77,4069,YES,NO,Lenovo,Computers Notebooks,Notebook Workstations,BOTH,LONG,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
00383C2G,00383,2FT CAT5E SNAGLESS PATCH GRY,757120003830,.05,1.61,2.99,NO,NO,C2G,Cables Computer & AV,Network Cat 5 Patch,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
T49AE20,T49AE20,Ultrachrome PRO6 Gry Crtrdg,010343956117,.45,57.41,69,NO,NO,Epson America Print,Printers Inkjet,Inkjet Cartridges,None,None,
PROA520MIICSM,PROA520M-CIICSM,PRO A520MC II CSM,195553250092,1.95,76.77,92.99,NO,NO,ASUS,Motherboards,Mini-ITX,None,None,
MAG271QPXQDOLE2,MAG 271QPX QD-OLED E2,MAG 271QPX QD OLED E2,824142354070,25.1,561.62,699.99,NO,NO,MSI,Monitors,27-29 inch Class,BOTH,SHORT,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
FPR1010ASAK9,FPR1010-ASA-K9,Firepower 1010 ASA Appliance,889728235372,6.35,879.31,1413.55,YES,YES,Cisco Systems,Network Security,Firewalls/UTM/VPN,None,None,
BR1104FTAYS24T,BR1104FTA-YS24T,"11.6"" N250 8G 128G 11P",197105797086,6.37,428.96,519.99,NO,NO,ASUS Notebooks,Computers Notebooks,Notebooks,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
8F3R9AA,8F3R9AA,PLY CCX EM60 EM,197497476897,1,173.57,225.95,NO,NO,HPI POLY,VoIP,SIP IP Phones,None,None,
21KV000JUS,21KV000JUS,TS P1 G7 ULT7 32G 1T 11P,198153487738,5.3,3712.13,4039,NO,NO,Lenovo,Computers Notebooks,Notebooks,Both,Long,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
00385C2G,00385,6FTCAT5E SNAGLESS UTPCABLEG,757120003854,.1,2.26,4.99,NO,NO,C2G,Cables Computer & AV,Network Cat 5 Patch,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
T502120BCS,T502120-BCS,EPSON T502 Dye Color Black and,010343935136,1.2,62.84,66.95,YES,NO,Epson America Print,Printers Inkjet,Inkjet Cartridges,None,None,
PROA620ME,PROA620ME,PRO A620ME,824142322406,1.8,72.61,74.99,NO,NO,MSI,Motherboards,"Socket AM1,3,4 and 5 Boards",Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
MAG271QPXQDOLED,MAG271QPXQDOLED,MAG 271QPX QD-OLED,824142341063,22.2,662.18,749.99,YES,YES,MSI,Monitors,27-29 inch Class,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
FPR1010EASAK9,FPR1010E-ASA-K9,Firepower 1010E ASA Non-PoE,889728532495,6,879.31,1413.55,NO,NO,Cisco Systems,Network Security,Firewalls/UTM/VPN,None,None,
BR1204CGAYS14,BR1204CGA-YS14,"12.2"" N100 4G 128G W11P",197105418202,5.1,322.57,419.99,YES,YES,ASUS Notebooks,Computers Notebooks,Notebooks,,,
8F3T8AA,8F3T8AA,PLY Edge E EM WMB,197497481549,2,31.9,40.65,NO,NO,HPI POLY,VoIP,SIP IP Phones,None,None,
21KV000PUS,21KV000PUS,TS P1 G7 ULT7 32G 1T 11P,198153491124,6.75,2729.17,3329,YES,NO,Lenovo,Computers Notebooks,Notebook Workstations,BOTH,LONG,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
00392CTG,00392,2' CAT5E Snagless Patch Blue,757120003922,.05,1.51,2.99,NO,NO,C2G,Cables Computer & AV,Network Cat 5 Patch,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
T502120S,T502120-S,Pigment Black Ink Bottle Sensr,010343935082,.5,20.86,21.99,YES,YES,Epson America Print,Printers Inkjet,Inkjet Cartridges,None,None,
PROARTA1,A1,ProArt A1,192876816141,18.3,1224.31,1299,YES,NO,ASUS,Projectors,Laser Light Source,None,None,
MAG274CQF,MAG274CQF,MAG 274CQF,824142372753,13.4,174.18,179.99,YES,NO,MSI,Monitors,27-29 inch Class,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
FPR1010NGFWK9,FPR1010-NGFW-K9,Firepower 1010 NGFW Appliance,889728192620,6.1,879.31,1413.55,YES,YES,Cisco Systems,Network Security,Firewalls/UTM/VPN,None,None,
BR1204CGAYS14T,BR1204CGA-YS14T,"12.2"" Intel N100 4G 128G Win11",197105418196,5.34,372.48,479.99,NO,NO,ASUS Notebooks,Computers Notebooks,Notebooks,None,None,
8F806UTEXCESS,8F806UT#ABA,EXCESS 865 G10 R7 16G 512G,197497464191,6.3,821.37,1719,YES,YES,HP Commercial Remarketing,Computers Notebooks,Notebooks,None,None,
21KV000UUS,21KV000UUS,TS P1 G7 ULT7 165H 32G 1T 11P,198153486441,5.3,3072.71,3299,NO,NO,Lenovo,Computers Notebooks,Notebook Workstations,Both,Long,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
00394,00394,6' CAT5E Snagless UTP Cbl Blue,757120003946,.15,2.26,4.99,NO,NO,C2G,Cables Computer & AV,Network Cat 5 Patch,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
T502220S,T502220-S,Pigment Cyan Ink Bottle Sensr,010343935099,.25,14.37,14.99,YES,YES,Epson America Print,Printers Inkjet,Inkjet Cartridges,None,None,
PROARTB660CRED4,PROARTB660-CREATORD4,PROART B660 CREATOR D4,195553518512,4.2,208.43,219.99,YES,NO,ASUS,Motherboards,LGA1700 & 1851 Boards,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
MAG274CXF,MAG274CXF,MAG 274CXF,824142372722,13.4,143.31,169.99,YES,NO,MSI,Monitors,27-29 inch Class,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
FPR1120ASAK9,FPR1120-ASA-K9,Firepower 1120 ASA Appliance,889728192590,11.8,3444.11,5565.53,YES,YES,Cisco Systems,Network Security,Firewalls/UTM/VPN,None,None,
BR1204CTAYS14,BR1204CTA-YS14,"12.2"" N150 4G 128G 11P",197105904149,6.37,318.54,389.99,NO,NO,ASUS Notebooks,Computers Notebooks,Notebooks,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
8F811UTEXCESS,8F811UT#ABA,EXCESS EB 865 G10 R5 16G 256G,197497464375,6.65,698.01,1539,NO,NO,HP Commercial Remarketing,Computers Notebooks,Notebooks,None,None,
21KV000VUS,21KV000VUS,TS P1 G7 ULT9 185H 64G 2T 11P,198153488711,2.5,4376.69,4699,NO,NO,Lenovo,Computers Notebooks,Notebook Workstations,BOTH,LONG,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
00398,00398,20' CAT5E SnaglessPatchBlue,757120003984,.4,4.75,9.99,NO,NO,C2G,Cables Computer & AV,Network Cat 5 Patch,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
T502320S,T502320-S,Pigment Magenta Ink Bottle Sen,010343935105,.25,14.37,14.99,YES,YES,Epson America Print,Printers Inkjet,Inkjet Cartridges,None,None,
PROARTLC420,PROARTLC420,PROART LC 420,197105367630,7,257.88,269.99,NO,NO,ASUS,CPUs,Cooling (fans & heatsinks),BOTH,SHORT,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
MAG274QRFQDE2,MAG274QRFQDE2,MAG274QRF QD E2,824142333549,19.15,236.22,279.99,YES,YES,MSI,Monitors,27-29 inch Class,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
FPR1120NGFWK9,FPR1120-NGFW-K9,Firepower 1120 NGFW Appliance,889728192583,12.3,3444.11,5565.53,YES,YES,Cisco Systems,Network Security,Firewalls/UTM/VPN,None,None,
BR1204CTAYS24T,BR1204CTA-YS24T,"12.2"" N250 8G 128G 11P",197105797093,6.37,428.96,519.99,NO,NO,ASUS Notebooks,Computers Notebooks,Notebooks,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
8F821UTEXCESS,8F821UT#ABA,EXCESS EB 845 G10 R5 16G 256G,197497477603,5,615.77,1489,YES,YES,HP Commercial Remarketing,Computers Notebooks,Notebooks,None,None,
21KV001FUS,21KV001FUS,TS P1 G7 ULT7 32G 1T 11P,198153492497,5.3,3016.83,3239,NO,NO,Lenovo,Computers Notebooks,Notebook Workstations,Both,Long,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
00401C2G,00401,2FTCAT5E SNAGLESS UTP CABLE-B,757120004011,.2,1.61,2.99,NO,NO,C2G,Cables Computer & AV,Network Cat 5 Patch,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
T502420S,T502420-S,Pigment Yellow Ink Bottle Sens,010343935112,.25,14.37,14.99,YES,YES,Epson America Print,Printers Inkjet,Inkjet Cartridges,None,None,
PROARTRTX4060O8,PROART-RTX4060-O8G,PROART-RTX4060-O8G,197105299412,3.45,356.8,369.99,NO,NO,ASUS,Video & Sound Cards,Video Cards PCIe nVIDIA,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
MAG274QRFW,MAG274QRFW,MAG 274QRFW,824142341483,17.9,220.49,249.99,YES,YES,MSI,Monitors,27-29 inch Class,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
FPR1140ASAK9,FPR1140-ASA-K9,Firepower 1140 ASA Appliance,889728192613,12.25,5742.73,9280.01,NO,NO,Cisco Systems,Network Security,Firewalls/UTM/VPN,None,None,
BR1204FGAYS14TS,BR1204FGA-YS14T-S,"12.2"" Intel N100 4G 128G 11P",197105418080,5.38,391.47,509.99,NO,NO,ASUS Notebooks,Computers Notebooks,Notebooks,NONE,NONE,
8F824UTEXCESS,8F824UT#ABA,EXCESS EB 845 G10 R7 16G 512G,197497477528,5.05,769.97,1699,NO,NO,HP Commercial Remarketing,Computers Notebooks,Notebooks,None,None,
21KX001VUS,21KX001VUS,TS P16v G2 ULT7 16G 512G 11P,198153181186,8.35,1624.07,2219,YES,YES,Lenovo,Computers Notebooks,Notebook Workstations,BOTH,LONG,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
00402C2G,00402,4FT CAT5E SNAGLES PATCH BLK,757120004028,.25,1.89,3.99,NO,NO,C2G,Cables Computer & AV,Network Cat 5 Patch,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
T502520S,T502520-S,Dye Cmy Ink Bottle Combo Snsor,010343935129,.8,42.65,44.95,YES,NO,Epson America Print,Printers Inkjet,Inkjet Cartridges,None,None,
PROARTX870ECREA,ProArtX870E-CREATORWIFI,ProArt X870ECREATOR WIFI,197105730779,5.8,455.11,479.99,NO,NO,ASUS,Motherboards,"Socket AM1,3,4 and 5 Boards",Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
MAG274UPFE2,MAG274UPFE2,MAG274UPFE2,824142341568,19.5,341.2,399.99,YES,NO,MSI,Monitors,27-29 inch Class,BOTH,SHORT,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
FPR1140NGFWK9,FPR1140-NGFW-K9,Firepower 1140 NGFW Appliance,889728192606,12,5742.73,9280.01,NO,NO,Cisco Systems,Network Security,Firewalls/UTM/VPN,None,None,
BR1204FGAYS24TS,BR1204FGA-YS24T-S,"12.2"" Intel N200 8G 128G 11P",197105418073,5.35,448.36,579.99,YES,NO,ASUS Notebooks,Computers Notebooks,Notebooks,NONE,NONE,
8F825UTEXCESS,8F825UT#ABA,EXCESS EB 845 G10 R7 32G 512G,197497477504,5,821.37,1879,NO,NO,HP Commercial Remarketing,Computers Notebooks,Notebooks,NONE,NONE,
21KX001YUS,21KX001YUS,TS P16v G2 ULT9 32G 1T 11P,198153189908,8.3,3864.42,4149,NO,NO,Lenovo,Computers Notebooks,Notebook Workstations,NONE,NONE,
00403,00403,6' CAT5E Snagless Patch Black,757120004035,.1,2.26,4.99,NO,NO,C2G,Cables Computer & AV,Network Cat 5 Patch,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
T50LF20,T50LF20,ULTRCHRM XD3 Red Crtr700ML,010343956179,2.3,214.12,294,YES,NO,Epson America Print,Printers Inkjet,Inkjet Cartridges,None,None,
PROARTZ690CREAT,PROARTZ690-CREATORWIFI,PROARTZ690CREATORWIFI,195553460736,5.3,423.23,449.99,NO,NO,ASUS,Motherboards,LGA1700 & 1851 Boards,None,None,
MAG274URFW,MAG274URFW,MAG 274URFW,824142346365,19.4,361.99,409.99,YES,NO,MSI,Monitors,27-29 inch Class,BOTH,SHORT,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
FPR1150ASAK9,FPR1150-ASA-K9,Firepower 1150 ASA App,889728222655,12.55,10908.44,17737.37,NO,NO,Cisco Systems,Network Security,Firewalls/UTM/VPN,None,None,
BR1204FTAYS14T,BR1204FTA-YS14T,"12.2"" N150 4G 128G 11P",197105904156,6.37,368.44,449.99,NO,NO,ASUS Notebooks,Computers Notebooks,Notebooks,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
8F8A4UARREF,8F8A4UAR#ABA,REFURB EB 845 G10 R7 64G 1T,197961865493,4.8,615.77,1469,NO,NO,HP Commercial Remarketing,Computers Notebooks,Notebooks,NONE,NONE,
21KX0020US,21KX0020US,TS P16v G2 ULT7 32G 1T 11P,198153183883,5.3,3259,3499,NO,NO,Lenovo,Computers Notebooks,Notebook Workstations,Both,Long,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
00407C2G,00407,20FT CAT5E SNAGLESUTP CABLE,757120004073,.4,4.75,9.99,NO,NO,C2G,Cables Computer & AV,Network Cat 5 Patch,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
T522120S,T522120-S,T522 Black Ink Btl Sensomatic,010343942011,.25,15.34,15.99,YES,YES,Epson America Print,Printers Inkjet,Inkjet Cartridges,None,None,
PROARTZ890CREAT,PROART Z890-CREATOR WIFI,PROART Z890-CREATOR WIFI,197105766167,5,463.91,489.99,NO,NO,ASUS,Motherboards,LGA1700 & 1851 Boards,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
MAG275CQRFQDE2,MAG275CQRFQDE2,MAG 275CQRF QD E2,824142354766,18.3,236.22,279.99,NO,NO,MSI,Monitors,27-29 inch Class,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
FPR1150NGFWK9,FPR1150-NGFW-K9,Cisco Firepower 1150 NGFW App,889728222648,12.4,10908.44,17737.37,NO,NO,Cisco Systems,Network Security,Firewalls/UTM/VPN,None,None,
BR1204FTAYS24TS,BR1204FTA-YS24T-S,"12.2"" N250 8G 128G 11P",197105797109,6.37,471.91,569.99,NO,NO,ASUS Notebooks,Computers Notebooks,Notebooks,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
8F8B4UTEXCESS,8F8B4UT#ABA,EXCESS ZB PWR G10 R7 16G 512G,197029148179,6.5,1129.77,2199,NO,NO,HP Commercial Remarketing,Computers Notebooks,Notebook Workstations,None,None,
21KX0021US,21KX0021US,TS P16v G2 ULT7 16G 512G 11P,198153189670,8.2,1954.05,2429,NO,NO,Lenovo,Computers Notebooks,Notebook Workstations,BOTH,LONG,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
00412C2G,00412,6FT CAT5E BOOTED UTP GRN,757120004127,.15,2.26,4.99,NO,NO,C2G,Cables Computer & AV,Network Cat 5 Patch,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
T522520S,T522520-S,T522 Clr Combo Ink Btl Sensmtc,010343942059,.75,45.01,47.95,YES,NO,Epson America Print,Printers Inkjet,Inkjet Cartridges,None,None,
PROB550MCCSM,PROB550M-C/CSM,PRO B550MC CSM AMD AM4,192876992333,2,79.31,99.99,NO,NO,ASUS,Motherboards,"Socket AM1,3,4 and 5 Boards",None,None,
MAG275F,MAG275F,MAG 275F,824142355732,14,134.49,149.99,YES,NO,MSI,Monitors,27-29 inch Class,BOTH,SHORT,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
FPR1KDTPWRAC,FPR1K-DT-PWR-AC=,150W Power Adapter FPR-1010,889728196000,1.1,367.5,585.53,NO,NO,Cisco Systems,Network Security,Accessories,None,None,
BR1350MS,BR1350MS,BackUPSTower 16HR Rechge 120V,731304335399,29.2,213.85,249.99,NO,NO,APC by Schneider Electric,UPS Desktops,1100-1500 VA,Reproductive,Long,"WARNING: This product can expose you to chemicals including Bisphenol A, which is known to the State of California to cause birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov."
8F8B4UTRREF,8F8B4UTR#ABA,REFURB ZB PWR G10 R7 16G 512G,197961600599,6.4,718.57,2199,NO,NO,HP Commercial Remarketing,Computers Notebooks,Notebook Workstations,NONE,NONE,
21KX0022US,21KX0022US,TS P16v G2 ULT9 96G 2T 11P,198153362523,5.3,4451.2,4779,NO,NO,Lenovo,Computers Notebooks,Notebook Workstations,NONE,NONE,
00674C2G,00674,3FT CAT6A BOOTED STP BLU,757120006749,.12,9.09,18.99,NO,NO,C2G,Cables Computer & AV,Network Cat 6 Patch,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
T53E120,T53E120,Utrchrm Pro6 Photo Blk Ink,010343967168,4.7,424.96,570,NO,NO,Epson America Print,Printers Inkjet,Inkjet Cartridges,None,None,
PROB650SWIFI,PRO B650-S WIFI,PRO B650 S WIFI,824142336267,3.25,132.4,159.99,YES,NO,MSI,Motherboards,"Socket AM1,3,4 and 5 Boards",BOTH,SHORT,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
MAG275QF,MAG275QF,MAG 275QF,824142360576,13.4,171.97,189.99,YES,NO,MSI,Monitors,27-29 inch Class,BOTH,SHORT,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
FPR1KDTRACKMNT,FPR1K-DT-RACK-MNT=,Firepower 1K Series,889728196079,19.75,260.95,414.01,YES,NO,Cisco Systems,Network Security,Firewalls/UTM/VPN,None,None,
BR1402CGAYS24,BR1402CGA-YS24,"14"" Intel N200 8G 128G Win11P",197105229402,5.7,424.72,499.99,NO,NO,ASUS Notebooks,Computers Notebooks,Notebooks,NONE,NONE,
8F8B5UTEXCESS,8F8B5UT#ABA,EXCESS ZB PWR G10 R7 32G 1T,197029148032,6.4,1098.93,2449,NO,NO,HP Commercial Remarketing,Computers Notebooks,Notebook Workstations,None,None,
21KX002AUS,21KX002AUS,TS P16v G2 ULT9 64G 2T 11P,198153362738,2.5,4245.2,4619,NO,NO,Lenovo,Computers Notebooks,Notebook Workstations,BOTH,LONG,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
00676C2G,00676,5FT CAT6A BOOTED STP BLU,757120006763,.16,9.14,18.99,NO,NO,C2G,Cables Computer & AV,Network Cat 6 Patch,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
T53E220,T53E220,Utrchrm Pro6 Photo Cyan Ink,010343967175,4.7,424.96,570,NO,NO,Epson America Print,Printers Inkjet,Inkjet Cartridges,None,None,
PROB660MCD4CSMS,PROB660M-CD4-CSM-SI,PRO B660M C D4 CSM SI,195553509442,1.98,121.56,129.99,NO,NO,ASUS,Motherboards,LGA1700 & 1851 Boards,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
MAG276CXF,MAG276CXF,MAG 276CXF,824142367940,14.3,143.31,169.99,YES,NO,MSI,Monitors,27-29 inch Class,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
FPR1KDTWALLMNT,FPR1K-DT-WALL-MNT=,Firepower 1K Series Wall Mount,889728195997,1,55.92,88.72,NO,NO,Cisco Systems,Network Security,Firewalls/UTM/VPN,None,None,
BR1402FGAYS24T,BR1402FGA-YS24T,"14"" Intel N200 8G 128G Win11P",197105229419,5.65,489.85,579.99,NO,NO,ASUS Notebooks,Computers Notebooks,Notebooks,NONE,NONE,
8F8B6UTEXCESS,8F8B6UT#ABA,EXCESS ZB PWR G10 R7 32G 1T,197029147929,6.55,1160.61,2599,NO,NO,HP Commercial Remarketing,Computers Notebooks,Notebook Workstations,None,None,
21KX002CUS,21KX002CUS,TS P16v G2 ULT7 32G 1T 11P,198153362387,5.3,3259,3499,NO,NO,Lenovo,Computers Notebooks,Notebook Workstations,Both,Long,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
00677C2G,00677,6FT CAT6A SNAGLESS STP CABLE-B,757120006770,.2,10.02,20.99,NO,NO,C2G,Cables Computer & AV,Network Cat 6 Patch,,,
T53E320,T53E320,Utrchrm Pro6 Photo Magnta Ink,010343967182,4.7,424.96,570,NO,NO,Epson America Print,Printers Inkjet,Inkjet Cartridges,None,None,
PROB760MAWID4,PROB760MAWID4,Intel PRO B760 DDR4 WIFI6,824142305973,2.95,164.13,169.99,YES,YES,MSI,Motherboards,LGA1700 & 1851 Boards,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
MAG27C6F,MAG27C6F,MAG27C6F,824142352915,14,134.49,149.99,YES,NO,MSI,Monitors,27-29 inch Class,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
FPR1KRMBRKT,FPR1K-RM-BRKT=,Firepower 1K Series RackMnt Br,889728196086,.25,74.56,118.29,NO,NO,Cisco Systems,Network Security,Firewalls/UTM/VPN,None,None,
BR1402FGAYS36TS,BR1402FGA-YS36T-S,"14"" i3 N305 16G 256G W11P",197105564268,6.6,674.6,819.99,NO,NO,ASUS Notebooks,Computers Notebooks,Notebooks,BOTH,SHORT,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
8F8B7UTEXCESS,8F8B7UT#ABA,EXCESS ZB PWR G10 R5 16G 512G,197029147899,6.5,769.97,1649,NO,NO,HP Commercial Remarketing,Computers Notebooks,Notebook Workstations,None,None,
21KX002DUS,21KX002DUS,TS P16v G2 ULT7 96G 2T 11P,198153362776,5.3,4069.33,4369,NO,NO,Lenovo,Computers Notebooks,Notebook Workstations,NONE,NONE,
00678C2G,00678,7FT CAT6A SNAGLESS STP CABLE-B,757120006787,.2,10.81,22.99,NO,NO,C2G,Cables Computer & AV,Network Cat 6 Patch,,,
T53E420,T53E420,Utrchrm Pro6 Photo Yllw Ink,010343967199,4.75,424.96,570,NO,NO,Epson America Print,Printers Inkjet,Inkjet Cartridges,None,None,
PROB760MCTCSM,ProB760M-CT-CSM,Pro B760M CT CSM,197105019614,2.1,118.7,139.99,YES,YES,ASUS,Motherboards,LGA1700 & 1851 Boards,None,None,
MAG27C6X,MAG27C6X,MAG27C6X,824142350690,14.4,143.31,169.99,NO,NO,MSI,Monitors,27-29 inch Class,Both,Short,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
FPR2110ASAK9,FPR2110-ASA-K9,EOL Firepower 2110 ASA App 1U,889728070171,21.3,8632.19,13978.22,NO,NO,Cisco Systems,Network Security,Firewalls/UTM/VPN,None,None,
BR1500G,BR1500G,1500VA Power Saving Back Pro,731304268772,29.7,268.22,309.99,YES,YES,APC by Schneider Electric,UPS Desktops,1100-1500 VA,Reproductive,Long,"WARNING: This product can expose you to chemicals including Bisphenol A, which is known to the State of California to cause birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov."
8F8B8UT,8F8B8UT#ABA,15.6 ZBPG10A R7-7840HS 16G 512,197029147592,6.5,1119.47,1849,NO,NO,HP Commercial Specialty,Computers Notebooks,Notebook Workstations,None,None,
21KX002EUS,21KX002EUS,TS P16v G2 ULT7 32G 1T 11P,198153362509,8.3,2128.23,2729,YES,YES,Lenovo,Computers Notebooks,Notebook Workstations,BOTH,LONG,WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.
