Blank1,Description,Extended Description,Blank2,Item Number,Blank3,Standard Price,List Price,Major category,Minor Category,Weight,Available Quantity,Date Established,PO Date,AvG Lead Time,Image ,Drop Ship Status,Active,Product Length ,Product Width,Product Height,Shipping Length ,Shipping Width ,Shipping Height,Item Weight,Item Net Weight,UPC Code,HCPC Code,MAP Price,Country Of Origin,Product Group (item),Plus Freight,Images,Images,Images,Images,Images,Images,Images,Images,Images,Images
,Cunningham Incontinence Clamp 1.5  Juvenile,Juvenile 1.5  * Urinary incontinence/penile clamp * Used to control stress incontinence or dribbling of urine * Constructed of soft sponge rubber and can be adjusted to fit comfortably * Reusable & Non-sterile *,,004052,,72.22,131.31,Incontinence,Cunningham Clamps,0.000,1,03/27/2006,12/31/2099,7,004053.jpg,N,Y,0,0,0,0,0,0,0,0,,,,,,N,,https://interlink.completemedical.com/usrimage/004053.jpg,,,,,,,,
,Nose Cutout only,* Permits patients to lie face down without turning head. 9  (22.86cm) long x 2  (5.08cm) wide * Standard placement is in the head end of the table top.,,009,,165.70,301.28,Physician Supplies,Treatment Table Accessories,0.000,0,04/30/2012,12/31/2099,7,009.jpg,O,Y,0,0,0,0,0,0,0,0,73796009021,,N,,,Y,,https://interlink.completemedical.com/usrimage/009.jpg,,,,,,,,
,Aquasonic 100 Sterile- 20 Gram Pouch Bx/48,* World Standard for sterile ultrasound gel. STERILE AQUASONIC 100 is recommended for diagnostic and therapeutic ultrasound applications when sterility is indicated * Overwrapped  sterilized foil pouches * Acoustically correct for the broad range of frequencies used in medical ultrasound * Non-irritating  hypoallergenic * Completely aqueous * Will not stain clothing or damage equipment * * Not a spermicide *,,01-01,,73.45,133.54,Electrotherapy,"Ultrasound Lotions, Gels, Accs",3.180,2,09/24/2002,12/31/2099,9,01-01.jpg,N,Y,16,13,12,0,0,0,3.18,0,,,,,,Y,,https://interlink.completemedical.com/usrimage/01-01.jpg,,,,,,,,
,Aquasonic 100 Non-Sterile 60 Gram (2.1 Oz) Tube Bx/12,ORIGINAL BLUE * 60g (2.1oz) Tube  Bx/12 * World Standard for Medical Ultrasound Transmission  AQUASONIC 100 is the most widely used gel for diagnostic and therapeutic medical ultrasound * Recommended for all procedures where a viscous gel is required * Acoustically correct for the broad range of frequencies used * Completely aqueous  will not stain clothing or damage transducers * Unique can't be copied formula is hypoallergenic  bacteriostatic  non-sensitizing and non-irritating * No formaldehyde * Not a spermicide * Used and recommended by leading manufacturers of medical ultrasound equipment worldwide *,,01-02,,18.69,33.98,Electrotherapy,"Ultrasound Lotions, Gels, Accs",2.060,16,09/24/2002,12/31/2099,6,01-20.jpg,N,Y,14,12,9,0,0,0,2.06,0,,,,,,Y,,https://interlink.completemedical.com/usrimage/01-20.jpg,,,,,,,,
,Aquasonic 100 Non-Sterile 0.25 Liter (8.5 Oz) Bx/12,ORIGINAL BLUE * 0.25 Liter (8.5oz)  Bx/12 * World Standard for Medical Ultrasound Transmission  AQUASONIC 100 is the most widely used gel for diagnostic and therapeutic medical ultrasound * Recommended for all procedures where a viscous gel is required * Acoustically correct for the broad range of frequencies used * Completely aqueous  will not stain clothing or damage transducers * Unique can't be copied formula is hypoallergenic  bacteriostatic  non-sensitizing and non-irritating * No formaldehyde * Not a spermicide * Used and recommended by leading manufacturers of medical ultrasound equipment worldwide *,,01-08,,30.60,55.63,Electrotherapy,"Ultrasound Lotions, Gels, Accs",8.020,35,09/24/2002,12/31/2099,12,01-08.jpg,N,Y,19,17,8,0,0,0,8.02,0,611400001015,,,,,Y,,https://interlink.completemedical.com/usrimage/01-08.jpg,,,,,,,,
,Aquasonic 100 Non-Sterile 0.25 Liter (8.5 Oz)  Each,ORIGINAL BLUE * 0.25 Liter (8.5oz)  each * World Standard for Medical Ultrasound Transmission  AQUASONIC 100 is the most widely used gel for diagnostic and therapeutic medical ultrasound * Recommended for all procedures where a viscous gel is required * Acoustically correct for the broad range of frequencies used * Completely aqueous  will not stain clothing or damage transducers * Unique can't be copied formula is hypoallergenic  bacteriostatic  non-sensitizing and non-irritating * No formaldehyde * Not a spermicide * Used and recommended by leading manufacturers of medical ultrasound equipment worldwide *,,01-08A,,4.03,7.31,Electrotherapy,"Ultrasound Lotions, Gels, Accs",0.640,2,09/24/2002,12/31/2099,7,01-08A.jpg,N,Y,0,0,0,0,0,0,.64,0,611400001015,,,,,Y,,https://interlink.completemedical.com/usrimage/01-08A.jpg,,,,,,,,
,Aquasonic 100 Non-Sterile 5 Liter (175 Oz),ORIGINAL BLUE * 5 Liter(175oz) Each * World Standard for Medical Ultrasound Transmission  AQUASONIC 100 is the most widely used gel for diagnostic and therapeutic medical ultrasound * Recommended for all procedures where a viscous gel is required * Acoustically correct for the broad range of frequencies used * Completely aqueous  will not stain clothing or damage transducers * Unique can't be copied formula is hypoallergenic  bacteriostatic  non-sensitizing and non-irritating * No formaldehyde * Not a spermicide * Used and recommended by leading manufacturers of medical ultrasound equipment worldwide *,,01-50,,23.13,42.08,Electrotherapy,"Ultrasound Lotions, Gels, Accs",11.840,0,09/24/2002,12/31/2099,12,01-50.jpg,N,Y,16,16,9,0,0,0,11.84,0,611400001503,,,,,Y,01-50.jpg,https://interlink.completemedical.com/usrimage/01-50.jpg,,,,,,,,
,Insert Straight Cut  White for LS Supports Universal,For use with lumbar=sacral supports,,0102UN,,17.50,31.82,Orthopedic Care,Back Supports & Braces,0.000,0,06/05/2023,01/27/2025,14,,N,Y,0,0,0,0,0,0,0,0,799423001021,,,,,,,,,,,,,,,
,Sock for Pneumatic Boot XL,Universal Tube Stretch Sock can be used with XP Walker© and FP Walker©. * Used to create a barrier between the boot and the skin  to absorb any sweat and decrease friction,,0129A,,5.69,10.37,Orthopedic Care,Ankle Braces & Supports,0.000,5,03/20/2008,12/31/2099,12,0129a.jpg,N,Y,0,0,0,0,0,0,0,0,01542101292,None,,,,N,,https://interlink.completemedical.com/usrimage/0129a.jpg,,,,,,,,
,Aircast AirSelect Short Pneumatic Walking Boot  Lg,Integrated inflation system using  customizable  independent distal aircells  allows individualized fit with no handbulb needed * Non-marking  skid resistant rubber tread improves traction and durability * SoftStrike technology absorbs and dissipates the energy during heel strike and reduce heel pain * Low profile rocker sole enables normal walking gait while reducing forefoot angulations and knee hyperextension * Trimmable and heat-moldable semi-rigid shell provides easy custom-fitting for comfort * Sleek  open-frame design provides ventilated protection and supports compliance * Contours around the malleoli which eliminates pressure for sustained comfort * Three-strap system evenly disperses pressure and eliminates pooling of edema * Intuitive  integrated inflation system permits quick and easy customization of each aircell * Fits Men's sizes 10-13 and Women's sizes 11-15 * Height of brace: 11.2  * Mid-footbed width: 4.5  * Toe footbed width: 5.0  *,,01ESL,,87.85,159.75,Foot Care,Cam Walkers/ Foot Walkers,0.000,0,10/04/2024,12/31/2099,5,,N,Y,0,0,0,0,0,0,0,0,,,,,,N,,,,,,,,,,
,Aircast AirSelect Short Pneumatic Walking Boot  Md,Integrated inflation system using  customizable  independent distal aircells  allows individualized fit with no handbulb needed * Non-marking  skid resistant rubber tread improves traction and durability * SoftStrike technology absorbs and dissipates the energy during heel strike and reduce heel pain * Low profile rocker sole enables normal walking gait while reducing forefoot angulations and knee hyperextension * Trimmable and heat-moldable semi-rigid shell provides easy custom-fitting for comfort * Sleek  open-frame design provides ventilated protection and supports compliance * Contours around the malleoli which eliminates pressure for sustained comfort * Three-strap system evenly disperses pressure and eliminates pooling of edema * Intuitive  integrated inflation system permits quick and easy customization of each aircell * Fits Men's sizes 7-10 and Women's sizes 8-11 * Height of brace: 10.3  * Mid-footbed width: 4.1  * Toe footbed width: 4.6  *,,01ESM,,87.85,159.75,Foot Care,Cam Walkers/ Foot Walkers,0.000,0,10/04/2024,12/31/2099,6,,N,Y,0,0,0,0,0,0,0,0,,,,,,N,,,,,,,,,,
,Aircast AirSelect Short Pneumatic Walking Boot  Sm,Integrated inflation system using  customizable  independent distal aircells  allows individualized fit with no handbulb needed * Non-marking  skid resistant rubber tread improves traction and durability * SoftStrike technology absorbs and dissipates the energy during heel strike and reduce heel pain * Low profile rocker sole enables normal walking gait while reducing forefoot angulations and knee hyperextension * Trimmable and heat-moldable semi-rigid shell provides easy custom-fitting for comfort * Sleek  open-frame design provides ventilated protection and supports compliance * Contours around the malleoli which eliminates pressure for sustained comfort * Three-strap system evenly disperses pressure and eliminates pooling of edema * Intuitive  integrated inflation system permits quick and easy customization of each aircell * Fits Men's sizes 4-7 and Women's sizes 5-8 * Height of brace: 9.5  * Mid-footbed width: 3.6  * Toe footbed width: 4.2  *,,01ESS,,87.85,159.75,Foot Care,Cam Walkers/ Foot Walkers,0.000,0,10/04/2024,12/31/2099,5,,N,Y,0,0,0,0,0,0,0,0,,,,,,N,,,,,,,,,,
